Customer_ID,Age,Tenure_Months,Monthly_Charges,Total_Charges,Support_Calls,Payment_Delays,Num_Products,Contract_Length,Has_Internet,Has_Streaming,Gender,Churn,Cancellation_Date
CUST_0022,47,52,91.53,4541.03,2,2,1,Monthly,Yes,No,Male,0,
CUST_0023,55,26,97.62,2435.07,1,1,2,Yearly,Yes,Yes,Male,0,
CUST_0024,19,64,36.2,2252.12,3,0,3,Two-Year,Yes,Yes,Male,0,
CUST_0025,38,59,114.7,7428.92,5,3,3,Monthly,Yes,No,Male,0,
CUST_0026,50,56,74.99,4437.09,3,3,2,Yearly,Yes,Yes,Male,0,
CUST_0027,29,59,147.09,7934.41,3,5,2,Yearly,Yes,Yes,Female,1,1775952000000000000
CUST_0028,39,70,127.9,9619.84,1,2,2,Yearly,Yes,No,Male,1,1780099200000000000
CUST_0029,61,33,90.31,3059.68,6,0,4,Monthly,No,Yes,Female,1,1798502400000000000
CUST_0030,42,53,40.4,2308.47,3,1,2,Yearly,Yes,No,Male,0,
CUST_0031,66,22,132.43,2821.23,2,3,1,Yearly,Yes,Yes,Male,1,1768348800000000000
CUST_0032,44,21,124.97,2605.75,1,4,4,Monthly,No,No,Male,1,1774656000000000000
CUST_0033,59,70,48.07,3631.55,1,4,4,Monthly,Yes,Yes,Female,0,
CUST_0034,45,70,61.91,4136.58,0,2,2,Monthly,Yes,No,Female,0,
CUST_0035,33,4,124.18,538.0,3,1,1,Two-Year,Yes,Yes,Female,1,1794182400000000000
CUST_0036,32,62,48.15,3181.43,3,1,4,Monthly,Yes,No,Male,0,
CUST_0037,64,62,139.72,9495.22,3,1,3,Yearly,Yes,Yes,Male,0,
CUST_0038,68,24,78.07,1807.82,3,0,4,Monthly,Yes,Yes,Male,0,
CUST_0039,61,55,35.88,1869.11,4,2,2,Monthly,Yes,No,Male,0,
CUST_0040,69,9,126.97,1104.08,5,2,1,Monthly,Yes,Yes,Male,0,
CUST_0041,20,3,71.69,234.63,5,0,2,Monthly,Yes,Yes,Male,0,
CUST_0042,54,31,90.81,2721.13,1,1,3,Monthly,No,Yes,Female,0,
CUST_0043,68,40,39.04,1581.97,4,2,3,Yearly,Yes,Yes,Female,1,1783123200000000000
CUST_0044,24,36,25.32,893.96,2,2,3,Monthly,No,Yes,Male,1,1791936000000000000
CUST_0045,38,24,104.75,2461.82,1,3,2,Monthly,No,Yes,Female,0,
CUST_0046,26,6,89.4,503.51,1,2,4,Monthly,Yes,Yes,Female,1,1788134400000000000
CUST_0047,56,66,99.19,6595.09,1,4,2,Yearly,Yes,No,Female,0,
CUST_0048,35,4,124.22,531.6,2,2,1,Yearly,Yes,Yes,Male,0,
CUST_0049,21,6,105.83,577.77,6,1,4,Yearly,No,Yes,Male,0,
CUST_0050,42,51,46.85,2575.35,1,0,3,Two-Year,Yes,No,Male,0,
CUST_0051,31,62,70.1,4490.04,3,2,2,Monthly,No,No,Male,0,
CUST_0052,67,57,138.24,8063.65,1,2,3,Monthly,Yes,Yes,Female,0,
CUST_0053,26,66,121.24,8203.33,5,3,3,Monthly,Yes,Yes,Male,1,1777766400000000000
CUST_0054,43,8,94.58,725.81,2,1,1,Monthly,Yes,No,Male,0,
CUST_0055,19,26,56.96,1455.83,2,2,4,Yearly,Yes,Yes,Male,0,
CUST_0056,37,51,62.76,3392.35,5,3,1,Monthly,Yes,Yes,Female,0,
CUST_0057,45,45,116.49,5039.06,2,0,1,Monthly,Yes,Yes,Female,0,
CUST_0058,64,44,131.4,5746.93,2,1,1,Monthly,Yes,No,Female,1,1789948800000000000
CUST_0059,24,5,108.93,492.32,3,3,3,Two-Year,Yes,Yes,Female,1,1789171200000000000
CUST_0060,61,70,126.19,9245.92,4,1,1,Two-Year,No,No,Female,0,
CUST_0061,25,26,120.83,3089.87,2,1,1,Monthly,No,No,Male,0,
CUST_0062,64,68,43.71,2987.35,2,4,4,Monthly,Yes,Yes,Female,0,
CUST_0063,52,19,77.99,1367.62,2,0,4,Yearly,Yes,No,Female,0,
CUST_0064,31,20,44.12,,1,2,1,Two-Year,Yes,Yes,Male,0,
CUST_0065,34,12,54.4,627.01,1,4,4,Monthly,Yes,No,Male,0,
CUST_0066,53,47,133.66,6451.62,2,2,4,Monthly,Yes,Yes,Male,0,
CUST_0067,67,1,84.11,85.48,6,2,1,Two-Year,Yes,Yes,Female,0,
CUST_0068,57,14,91.92,1360.26,2,2,3,Yearly,Yes,Yes,Male,0,
CUST_0069,21,64,47.31,2902.99,2,1,1,Monthly,No,Yes,Female,0,
CUST_0070,19,38,64.03,2557.68,6,1,4,Yearly,Yes,Yes,Male,0,
CUST_0071,23,37,53.78,1943.1,2,2,3,Two-Year,Yes,Yes,Female,0,
CUST_0072,59,11,50.77,548.55,7,1,2,Yearly,Yes,Yes,Female,0,
CUST_0073,21,3,104.75,325.1,4,2,3,Yearly,Yes,No,Female,0,
CUST_0074,46,33,57.11,1991.78,3,0,4,Yearly,Yes,Yes,Female,0,
CUST_0075,35,6,104.0,644.82,1,0,3,Monthly,Yes,No,Male,0,
CUST_0076,43,50,32.31,1744.7,4,2,1,Yearly,Yes,Yes,Male,1,1787097600000000000
CUST_0077,61,10,42.72,408.84,0,3,2,,No,Yes,Female,0,
CUST_0078,51,5,59.32,320.36,2,0,2,Two-Year,Yes,Yes,Male,0,
CUST_0079,27,23,99.63,2122.32,1,3,2,Monthly,No,Yes,Female,1,1797465600000000000
CUST_0080,53,10,109.48,1129.73,0,2,4,Two-Year,Yes,No,Male,0,
CUST_0081,31,44,80.34,3568.63,2,3,4,Monthly,No,Yes,Male,0,
CUST_0082,48,2,80.72,161.27,6,1,2,Monthly,Yes,No,Female,0,
CUST_0083,65,13,115.56,1445.47,1,2,3,Monthly,Yes,No,Female,0,
CUST_0084,32,40,26.98,1080.01,1,0,2,Yearly,Yes,Yes,Male,0,
CUST_0085,25,2,67.64,126.13,4,2,3,Yearly,Yes,No,Female,0,
CUST_0086,31,65,,8060.77,0,1,3,Yearly,Yes,Yes,Male,0,
CUST_0087,40,63,100.4,5817.52,5,0,4,Monthly,Yes,Yes,Male,0,
CUST_0088,57,17,67.15,1157.95,1,3,3,Monthly,Yes,No,Male,1,1789257600000000000
CUST_0089,38,9,,1143.16,1,1,2,Two-Year,Yes,Yes,Female,0,
CUST_0090,33,15,121.58,1699.81,3,2,4,Yearly,No,Yes,Female,0,
CUST_0091,62,24,58.11,1279.02,3,1,1,Yearly,Yes,Yes,Male,0,
CUST_0092,35,38,105.66,,2,0,1,Yearly,Yes,Yes,Female,0,
CUST_0093,64,35,99.47,3719.55,3,0,4,Yearly,Yes,Yes,Female,0,
CUST_0094,41,49,,3982.02,2,1,2,Monthly,Yes,Yes,Male,1,1791763200000000000
CUST_0095,43,69,70.87,4471.34,5,2,1,Yearly,Yes,Yes,Female,0,
CUST_0096,42,62,67.95,4326.27,3,1,1,Yearly,Yes,Yes,Female,0,
CUST_0097,62,60,102.14,6354.4,6,1,3,Two-Year,Yes,No,Male,0,
CUST_0098,58,50,80.3,4042.12,1,1,3,Yearly,Yes,Yes,Female,0,
CUST_0099,46,9,128.98,1199.59,4,0,2,Monthly,Yes,No,Male,0,
CUST_0100,32,34,108.7,3498.95,3,0,4,Monthly,Yes,No,Female,1,1775865600000000000
CUST_0101,62,35,33.74,1178.45,3,0,2,Monthly,Yes,No,Female,0,
CUST_0102,18,1,105.02,102.73,1,1,4,Monthly,Yes,No,Male,1,1770336000000000000
CUST_0103,42,40,58.89,2162.3,7,3,1,Yearly,Yes,Yes,Male,0,
CUST_0104,24,64,99.1,6501.67,2,1,3,Two-Year,No,Yes,Female,0,
CUST_0105,26,22,110.02,2418.12,6,2,2,Monthly,No,Yes,Male,0,
CUST_0106,41,60,53.85,3085.72,2,3,2,Monthly,Yes,No,Male,0,
CUST_0107,18,64,82.11,5227.38,2,0,4,Two-Year,Yes,No,Female,0,
CUST_0108,61,72,48.79,3706.3,9,1,4,Yearly,Yes,Yes,Male,0,
CUST_0109,25,11,31.54,367.87,2,2,2,Monthly,Yes,Yes,Female,0,
CUST_0110,41,14,72.31,1042.61,5,2,4,Yearly,Yes,No,Female,0,
CUST_0111,28,60,70.37,4194.96,0,5,2,Monthly,Yes,Yes,Male,0,
CUST_0112,68,30,149.44,4551.12,1,4,2,Monthly,Yes,Yes,Female,0,
CUST_0113,34,35,80.79,2762.62,0,2,2,Monthly,Yes,Yes,Male,1,1784505600000000000
CUST_0114,25,37,66.7,2283.58,3,1,1,Monthly,Yes,No,Female,0,
CUST_0115,52,5,97.56,476.64,1,0,4,Monthly,Yes,Yes,Male,0,
CUST_0116,52,26,36.1,944.29,3,2,3,Two-Year,Yes,Yes,Male,0,
CUST_0117,50,62,145.21,9180.98,0,2,3,Yearly,Yes,No,Female,0,
CUST_0118,22,4,104.37,453.87,3,3,4,Monthly,Yes,Yes,Male,0,
CUST_0119,59,42,119.35,5290.74,4,1,2,Monthly,Yes,No,Male,0,
CUST_0120,56,18,46.31,775.56,3,1,3,Monthly,Yes,Yes,Male,0,
CUST_0121,58,40,76.18,2848.63,6,1,3,Yearly,Yes,Yes,Female,0,
CUST_0122,45,72,77.84,5156.68,2,2,4,Yearly,Yes,No,Female,0,
CUST_0123,24,39,127.73,5218.77,2,0,3,Monthly,Yes,No,Male,1,1776988800000000000
CUST_0124,26,14,25.15,366.62,2,1,2,Monthly,Yes,Yes,Male,1,1787011200000000000
CUST_0125,25,32,62.61,2198.41,4,0,4,Yearly,Yes,Yes,Female,0,
CUST_0126,29,51,147.65,7563.32,0,2,2,Yearly,Yes,No,Female,0,
CUST_0127,51,38,84.36,3414.96,3,1,3,Monthly,Yes,Yes,Female,1,1770249600000000000
CUST_0128,50,23,72.82,1700.47,1,4,3,Yearly,No,No,Male,0,
CUST_0129,65,63,39.98,2707.19,1,1,2,Yearly,No,No,Female,0,
CUST_0130,40,15,146.77,2298.87,7,0,1,Monthly,Yes,Yes,Male,1,1769904000000000000
CUST_0131,41,25,27.5,707.15,1,1,3,Monthly,No,No,Female,0,
CUST_0132,54,17,117.15,2017.49,1,2,1,Monthly,Yes,Yes,Male,1,1780358400000000000
CUST_0133,52,66,121.07,8346.95,2,0,3,Two-Year,Yes,No,Female,0,
CUST_0134,61,53,55.46,2892.15,3,0,1,Two-Year,Yes,Yes,Male,0,
CUST_0135,57,51,108.94,5107.66,5,2,1,Two-Year,No,No,Female,0,
CUST_0136,39,39,36.62,1296.78,3,5,1,Yearly,Yes,No,Female,0,
CUST_0137,44,51,57.13,2901.41,3,0,2,Yearly,Yes,No,Male,0,
CUST_0138,52,70,123.49,8815.96,3,0,1,Yearly,Yes,No,Female,0,
CUST_0139,18,6,133.09,731.28,4,0,1,Two-Year,Yes,Yes,Female,1,1788048000000000000
CUST_0140,52,67,101.06,6482.44,3,3,1,Monthly,,Yes,Female,0,
CUST_0141,54,7,88.35,596.44,1,4,3,Monthly,Yes,No,Female,0,
CUST_0142,64,51,44.91,2319.18,1,3,1,Yearly,Yes,No,Male,0,
CUST_0143,31,72,32.89,2263.17,3,0,3,Yearly,Yes,No,Male,0,
CUST_0144,20,42,39.71,1532.94,1,1,1,Monthly,Yes,No,Female,0,
CUST_0145,18,64,53.42,3189.72,1,3,1,Yearly,Yes,Yes,Male,0,
CUST_0146,22,15,67.71,949.42,2,2,2,Yearly,Yes,Yes,Male,0,
CUST_0147,43,29,72.61,2250.01,3,1,3,Monthly,Yes,Yes,Male,0,
CUST_0148,31,33,68.29,2156.36,4,1,1,Yearly,Yes,No,Male,0,
CUST_0149,56,27,54.88,1545.38,2,3,3,Monthly,Yes,Yes,Male,0,
CUST_0150,44,36,88.72,3237.25,3,1,3,Two-Year,Yes,No,Female,0,
CUST_0151,26,29,128.16,4071.24,3,2,4,Monthly,Yes,Yes,Male,0,
CUST_0152,32,38,59.96,2174.96,0,2,2,Yearly,No,Yes,Female,0,
CUST_0153,32,57,142.8,7583.46,2,2,2,Monthly,No,Yes,Male,0,
CUST_0154,43,27,134.17,3298.03,3,0,2,Monthly,Yes,Yes,Female,0,
CUST_0155,59,55,45.22,2358.25,1,4,4,Yearly,Yes,No,Female,0,
CUST_0156,30,33,123.28,4218.01,4,1,4,Monthly,No,Yes,Female,0,
CUST_0157,68,68,96.82,6037.65,0,1,2,Monthly,No,Yes,Male,0,
CUST_0158,49,66,95.82,6001.21,1,0,4,Monthly,No,Yes,Male,0,
CUST_0159,56,10,73.88,791.3,2,2,4,Yearly,Yes,No,Female,0,
CUST_0160,66,5,87.64,445.47,4,0,4,Yearly,Yes,No,Female,1,1782432000000000000
CUST_0161,69,38,74.65,2592.47,1,1,2,Monthly,Yes,Yes,Male,0,
CUST_0162,49,13,92.47,1093.36,2,2,2,Yearly,Yes,No,Male,1,1791849600000000000
CUST_0163,21,31,103.49,2926.59,5,1,2,Yearly,Yes,Yes,Female,0,
CUST_0164,47,47,109.29,5590.58,7,0,4,Yearly,Yes,Yes,Male,0,
CUST_0165,54,52,91.56,,2,2,2,Monthly,Yes,No,Male,0,
CUST_0166,40,56,115.18,6895.06,5,0,4,Yearly,Yes,Yes,Male,0,
CUST_0167,56,15,42.66,694.19,3,0,1,Monthly,Yes,No,Male,0,
CUST_0168,62,29,51.5,1495.07,5,2,4,Monthly,Yes,Yes,Male,0,
CUST_0169,32,8,127.34,967.24,1,1,3,Monthly,Yes,No,Male,0,
CUST_0170,60,5,65.32,320.16,2,3,2,Yearly,Yes,Yes,Female,1,1796774400000000000
CUST_0171,46,29,27.86,843.31,4,3,2,Monthly,Yes,No,Female,0,
CUST_0172,53,47,44.22,2234.64,2,0,3,Two-Year,Yes,No,Female,0,
CUST_0173,30,68,52.95,3553.86,2,0,4,Monthly,Yes,Yes,Female,0,
CUST_0174,49,45,144.67,6556.22,6,2,1,Monthly,Yes,Yes,Female,1,1782172800000000000
CUST_0175,24,2,96.63,209.95,0,4,3,Monthly,Yes,Yes,Female,0,
CUST_0176,68,27,141.59,3522.83,7,1,3,Monthly,Yes,No,Male,1,1775692800000000000
CUST_0177,39,36,96.9,3741.17,4,3,4,Monthly,Yes,Yes,Male,0,
CUST_0178,45,36,84.92,2848.81,3,0,2,Monthly,Yes,Yes,Female,0,
CUST_0179,19,26,64.22,1664.33,2,3,4,Monthly,No,No,Female,0,
CUST_0180,59,43,100.8,4090.31,6,2,3,Monthly,Yes,Yes,Female,1,1783641600000000000
CUST_0181,62,27,42.4,1168.37,4,2,3,Monthly,Yes,No,Male,1,1794009600000000000
CUST_0182,23,69,137.28,9583.29,3,4,2,Monthly,Yes,Yes,Male,1,1781049600000000000
CUST_0183,45,20,128.67,2511.64,0,1,2,Yearly,Yes,Yes,Male,1,1776211200000000000
CUST_0184,45,11,64.69,763.29,2,3,2,Yearly,Yes,No,Male,0,
CUST_0185,61,38,144.1,5650.82,5,0,4,Yearly,No,No,Female,0,
CUST_0186,61,6,128.15,802.92,2,1,2,Monthly,Yes,Yes,Female,0,
CUST_0187,37,72,108.29,7252.13,2,1,3,Yearly,Yes,Yes,Female,0,
CUST_0188,47,23,40.22,995.95,2,2,3,Two-Year,Yes,Yes,Female,0,
CUST_0189,28,47,84.78,3719.31,3,1,1,Monthly,Yes,Yes,Male,1,1784332800000000000
CUST_0190,45,46,88.26,3834.86,3,0,4,,Yes,Yes,Male,0,
CUST_0191,42,12,54.07,600.57,3,2,1,Monthly,Yes,Yes,Female,0,
CUST_0192,56,13,35.0,449.57,3,3,3,Monthly,Yes,No,Male,0,
CUST_0193,50,62,122.09,8156.54,2,1,1,Monthly,Yes,No,Male,0,
CUST_0194,18,60,40.25,2295.43,2,3,3,Yearly,No,Yes,Male,0,
CUST_0195,44,43,99.29,4161.67,5,1,1,Monthly,Yes,Yes,Male,0,
CUST_0196,69,68,142.06,10328.69,1,1,2,Two-Year,Yes,Yes,Female,0,
CUST_0197,30,5,134.51,688.4,2,5,1,Monthly,Yes,Yes,Male,1,1771027200000000000
CUST_0198,58,37,59.72,2320.84,2,2,2,Monthly,Yes,No,Female,0,
CUST_0199,20,72,131.43,8921.68,0,0,2,Two-Year,Yes,No,Male,0,
CUST_0200,56,31,25.04,809.85,0,3,4,Yearly,,No,Male,0,
CUST_0201,23,9,,231.55,3,0,2,Monthly,Yes,No,Female,0,
CUST_0202,25,51,100.32,5614.97,1,1,2,Yearly,Yes,Yes,Female,0,
CUST_0203,44,29,70.6,2071.92,4,0,1,Yearly,Yes,Yes,Male,1,1796774400000000000
CUST_0204,26,40,73.31,3047.14,4,3,3,Monthly,Yes,No,Male,0,
CUST_0205,54,41,95.56,3618.94,1,1,4,Monthly,Yes,Yes,Female,0,
CUST_0206,50,11,48.97,511.81,6,1,2,Yearly,Yes,No,Male,0,
CUST_0207,68,23,51.47,1098.51,1,3,4,Monthly,No,No,Male,0,
CUST_0208,59,1,85.58,83.7,3,2,1,Monthly,Yes,No,Female,0,
CUST_0209,61,46,119.28,5250.0,3,2,2,Monthly,Yes,Yes,Male,0,
CUST_0210,41,21,102.44,2251.45,0,2,1,Monthly,Yes,Yes,Male,0,
CUST_0211,32,36,62.17,2062.97,1,2,4,Two-Year,Yes,No,Male,0,
CUST_0212,49,54,78.79,4469.15,1,2,1,Monthly,Yes,No,Male,0,
CUST_0213,49,57,46.33,2400.87,4,1,4,Two-Year,No,No,Male,0,
CUST_0214,41,1,34.33,32.28,1,1,1,Monthly,Yes,No,Female,0,
CUST_0215,58,63,122.84,8190.82,2,0,4,Monthly,No,Yes,Male,0,
CUST_0216,69,54,58.17,3293.7,0,0,3,Monthly,Yes,Yes,Female,0,
CUST_0217,66,55,47.22,2584.8,1,2,1,Yearly,Yes,Yes,Female,0,
CUST_0218,66,40,111.45,4056.76,4,0,1,Two-Year,Yes,Yes,Male,1,1793404800000000000
CUST_0219,69,15,102.26,1567.61,4,1,3,Monthly,Yes,No,Female,0,
CUST_0220,29,21,104.15,2146.35,3,1,3,Monthly,Yes,No,Male,1,1792713600000000000
CUST_0221,56,47,53.61,2427.21,1,2,1,Yearly,No,Yes,Female,0,
CUST_0222,19,53,54.08,2946.73,2,2,3,Yearly,Yes,Yes,Female,0,
CUST_0223,20,9,52.6,467.4,1,2,2,Monthly,No,Yes,Female,0,
CUST_0224,66,52,46.72,2231.4,3,0,4,Yearly,No,No,Male,0,
CUST_0225,54,57,106.97,,3,1,4,Yearly,No,Yes,Female,0,
CUST_0226,66,26,131.0,3595.71,0,5,4,Monthly,Yes,Yes,Female,0,
CUST_0227,34,41,115.54,4316.84,3,2,2,Monthly,Yes,Yes,Female,0,
CUST_0228,66,35,124.01,4362.11,2,1,3,Monthly,Yes,Yes,Male,1,1783468800000000000
CUST_0229,19,63,75.6,4365.94,3,1,3,Yearly,Yes,No,Male,0,
CUST_0230,19,25,106.76,2849.05,1,3,1,Yearly,Yes,Yes,Female,0,
CUST_0231,45,38,69.28,2692.15,3,2,3,Monthly,Yes,Yes,Female,0,
CUST_0232,40,2,90.69,169.5,0,1,1,Monthly,Yes,Yes,Female,1,1796688000000000000
CUST_0233,54,7,85.2,539.23,1,2,2,Monthly,No,Yes,Female,0,
CUST_0234,49,34,47.11,1451.68,3,2,4,Yearly,No,No,Male,0,
CUST_0235,50,17,73.38,1249.3,3,0,4,Monthly,Yes,Yes,Male,0,
CUST_0236,18,43,145.48,6548.87,3,1,4,Monthly,Yes,Yes,Male,0,
CUST_0237,36,59,56.07,3057.27,2,2,3,Monthly,Yes,No,Female,0,
CUST_0238,19,51,41.73,2009.6,3,1,1,Monthly,Yes,Yes,Male,0,
CUST_0239,61,54,77.32,4031.03,1,2,1,Monthly,,No,Female,0,
CUST_0240,43,24,123.79,2803.44,4,0,2,Monthly,Yes,Yes,Female,0,
CUST_0241,49,25,97.77,2391.13,3,1,3,Monthly,Yes,Yes,Female,1,1772064000000000000
CUST_0242,23,71,110.12,7911.74,1,1,2,Yearly,Yes,No,Male,0,
CUST_0243,49,52,48.71,2626.61,1,3,1,Monthly,Yes,No,Female,0,
CUST_0244,21,70,102.37,7830.57,2,1,1,Monthly,Yes,No,Male,0,
CUST_0245,28,33,65.44,2345.6,2,1,4,Yearly,No,Yes,Female,0,
CUST_0246,34,49,129.29,6424.06,2,0,3,Monthly,Yes,Yes,Male,0,
CUST_0247,55,29,103.66,3146.92,2,2,1,Yearly,Yes,Yes,Female,0,
CUST_0248,41,63,49.86,3424.43,2,0,4,Monthly,Yes,Yes,Male,0,
CUST_0249,22,22,33.08,667.13,1,3,3,Monthly,Yes,No,Female,0,
CUST_0250,69,26,30.33,710.61,1,0,2,Monthly,Yes,Yes,Male,0,
CUST_0251,51,28,71.43,1811.96,4,1,3,Monthly,Yes,Yes,Female,0,
CUST_0252,23,49,58.23,2889.42,0,2,3,Yearly,Yes,No,Female,0,
CUST_0253,39,71,105.76,7903.68,2,4,1,Monthly,Yes,Yes,Female,0,
CUST_0254,28,49,87.42,4169.7,3,1,1,Monthly,Yes,No,Male,1,1791590400000000000
CUST_0255,65,20,58.25,1175.54,3,4,3,Monthly,Yes,Yes,Female,0,
CUST_0256,33,63,43.65,2758.95,5,0,1,Monthly,Yes,Yes,Female,0,
CUST_0257,50,61,40.9,2292.7,1,1,1,Monthly,Yes,No,Female,0,
CUST_0258,26,49,133.08,6288.24,3,2,1,Monthly,Yes,Yes,Male,1,1779062400000000000
CUST_0259,23,71,55.43,3557.27,5,0,4,Monthly,Yes,Yes,Female,0,
CUST_0260,33,1,106.46,98.17,2,1,4,Yearly,No,No,Female,0,
CUST_0261,46,13,126.34,1744.86,1,3,3,Monthly,Yes,No,Male,0,
CUST_0262,20,51,101.76,5531.68,5,0,1,Yearly,No,No,Female,0,
CUST_0263,37,56,132.45,7865.12,5,1,4,Two-Year,Yes,No,Male,0,
CUST_0264,53,62,74.05,4799.37,1,1,3,Monthly,No,Yes,Female,0,
CUST_0265,36,32,144.53,4896.27,1,3,1,Yearly,Yes,No,Male,0,
CUST_0266,43,30,41.64,1291.92,0,1,2,Yearly,Yes,No,Male,0,
CUST_0267,20,29,37.77,1132.53,3,1,1,Monthly,No,Yes,Male,0,
CUST_0268,36,49,107.34,5435.71,1,4,1,Two-Year,Yes,No,Female,0,
CUST_0269,37,45,142.85,6446.3,1,1,4,Monthly,Yes,Yes,Female,0,
CUST_0270,49,30,126.11,3679.9,3,3,3,Monthly,Yes,Yes,Male,1,1771113600000000000
CUST_0271,24,16,34.55,578.25,5,0,3,Yearly,Yes,No,Female,0,
CUST_0272,69,40,59.92,2300.28,3,1,4,Monthly,Yes,Yes,Female,0,
CUST_0273,58,19,141.29,2707.54,0,1,1,Monthly,Yes,Yes,Male,0,
CUST_0274,50,18,56.63,1005.75,3,3,2,Monthly,No,Yes,Male,0,
CUST_0275,57,1,122.65,117.17,2,1,1,Yearly,Yes,No,Male,0,
CUST_0276,56,47,128.14,,1,1,1,Yearly,No,Yes,Male,0,
CUST_0277,35,66,86.93,5460.55,1,2,2,Yearly,No,Yes,Female,0,
CUST_0278,57,38,73.29,2678.8,1,2,4,Two-Year,Yes,No,Female,0,
CUST_0279,18,51,81.27,3864.24,1,1,3,Monthly,Yes,No,Female,0,
CUST_0280,28,63,53.37,3579.5,0,3,4,Monthly,Yes,Yes,Female,0,
CUST_0281,45,4,136.17,554.11,2,1,4,Yearly,Yes,No,Female,0,
CUST_0282,42,1,81.33,83.17,5,3,1,Yearly,Yes,No,Female,1,1773446400000000000
CUST_0283,67,8,135.31,1151.88,3,2,3,Monthly,Yes,No,Male,0,
CUST_0284,40,29,38.21,1073.28,4,1,3,Monthly,Yes,Yes,Female,0,
CUST_0285,48,55,148.53,7668.6,1,2,4,Yearly,Yes,No,Female,0,
CUST_0286,47,3,80.41,226.68,3,0,2,Two-Year,Yes,Yes,Female,0,
CUST_0287,59,32,30.98,1037.48,3,2,4,Yearly,,Yes,Male,0,
CUST_0288,52,10,29.75,304.29,2,4,2,Monthly,Yes,Yes,Male,0,
CUST_0289,24,34,118.28,3785.33,1,1,3,Two-Year,Yes,No,Female,0,
CUST_0290,33,55,107.38,5486.66,3,1,4,Two-Year,Yes,Yes,Male,0,
CUST_0291,43,32,125.27,3704.53,1,2,1,Monthly,No,Yes,Male,0,
CUST_0292,65,50,38.17,1957.28,2,2,4,Yearly,Yes,No,Female,0,
CUST_0293,69,7,29.45,185.54,0,2,3,Yearly,Yes,No,Female,0,
CUST_0294,66,8,88.57,640.3,1,3,1,Two-Year,Yes,No,Female,0,
CUST_0295,19,65,73.45,4668.79,2,2,1,Yearly,No,Yes,Male,0,
CUST_0296,18,57,82.74,4896.67,1,0,2,Yearly,Yes,Yes,Male,0,
CUST_0297,65,67,148.95,10368.93,5,0,1,Yearly,Yes,No,Female,0,
CUST_0298,29,59,146.34,8513.39,4,0,1,Monthly,No,Yes,Male,1,1771372800000000000
CUST_0299,22,72,142.79,10673.76,0,3,4,Yearly,Yes,No,Male,0,
CUST_0300,54,54,122.98,6668.94,2,2,3,Yearly,Yes,Yes,Male,0,
CUST_0301,49,67,69.36,5090.39,1,2,2,Two-Year,Yes,No,Female,0,
CUST_0302,26,51,76.52,3639.07,2,1,4,Monthly,No,Yes,Female,0,
CUST_0303,58,8,93.7,764.69,2,1,1,Yearly,Yes,Yes,Female,1,1776556800000000000
CUST_0304,52,34,128.82,4372.21,4,2,1,Monthly,Yes,No,Female,0,
CUST_0305,36,35,33.59,1103.81,1,1,2,Yearly,Yes,Yes,Female,0,
CUST_0306,65,32,78.04,2622.14,2,3,3,Yearly,Yes,Yes,Male,0,
CUST_0307,33,46,35.33,1552.21,3,3,2,Monthly,Yes,No,Male,0,
CUST_0308,20,16,89.33,1395.47,0,2,4,Monthly,,Yes,Male,0,
