CustomerID,Age,AnnualIncome_kUSD,SpendingScore,PurchaseFrequency,OnlinePurchaseRatio
342,33,17.7,61.1,7.2,0.79
343,50,41.6,73.6,8.9,0.69
344,45,54.9,43.5,5.7,0.49
345,65,33.9,44.0,6.5,0.67
346,31,29.4,58.7,6.9,0.66
347,70,73.7,19.7,3.1,0.34
348,67,30.0,86.6,9.2,0.81
349,27,15.0,35.7,4.1,0.6
350,26,18.1,77.3,8.8,0.88
351,46,30.0,73.4,8.5,0.67
352,20,29.1,71.7,9.4,0.72
353,33,30.6,27.0,4.0,0.44
354,41,15.0,69.0,7.7,0.63
355,69,57.3,75.7,7.0,0.75
356,70,44.9,32.6,3.7,0.47
357,26,38.5,24.8,2.7,0.51
358,65,41.0,37.0,4.5,0.59
359,22,15.0,100.0,15.0,0.89
360,57,49.8,58.2,5.5,0.62
361,62,55.8,78.8,9.5,0.83
362,65,53.9,24.6,4.7,0.37
363,29,15.0,81.1,9.2,0.84
364,65,55.0,32.7,7.8,0.46
365,24,15.0,32.2,2.9,0.39
366,45,38.4,43.3,5.4,0.46
367,42,16.5,26.4,1.5,0.54
368,34,33.8,35.3,3.3,0.47
369,19,15.0,48.1,5.8,0.7
370,58,28.6,40.0,6.0,0.48
371,35,37.6,27.6,3.6,0.46
372,53,43.6,34.5,6.1,0.67
373,39,24.3,63.3,6.9,0.59
374,37,47.8,23.6,2.0,0.26
375,64,42.6,25.2,7.7,0.52
376,23,21.6,72.0,8.7,0.66
377,57,46.6,34.7,2.6,0.48
378,57,35.9,34.8,2.6,0.44
379,38,36.7,6.2,1.0,0.31
380,31,20.0,40.5,6.2,0.44
381,18,15.0,30.7,2.8,0.44
382,67,66.2,74.6,8.5,0.78
383,68,38.0,16.8,1.8,0.28
384,30,15.0,29.6,4.6,0.39
385,19,38.0,51.6,4.2,0.57
386,24,52.5,81.7,7.1,0.68
387,21,15.1,60.4,7.1,0.62
388,62,23.4,31.5,4.6,0.47
389,65,44.8,73.3,8.7,0.71
390,26,19.8,42.5,3.3,0.51
391,57,41.1,74.0,9.4,0.74
392,27,15.0,68.4,6.3,0.65
393,37,37.3,18.8,1.2,0.43
394,49,44.4,36.4,2.3,0.61
395,56,24.8,36.4,6.4,0.46
396,64,56.3,19.5,3.3,0.42
397,20,43.9,21.3,3.5,0.37
398,28,26.6,8.5,3.2,0.34
399,32,23.1,28.2,8.2,0.56
400,34,26.7,13.5,1.0,0.38
401,70,59.2,83.7,8.0,0.67
402,59,23.9,32.2,2.5,0.5
403,34,30.4,48.0,3.8,0.67
404,69,46.5,63.6,5.1,0.66
405,44,57.1,75.1,7.8,0.83
406,44,32.8,93.6,8.2,0.82
407,40,52.3,44.0,5.5,0.42
408,25,15.0,23.6,2.7,0.42
409,67,56.9,34.5,4.7,0.34
410,18,21.8,24.4,3.6,0.39
411,27,15.0,27.4,4.1,0.54
412,30,27.9,65.8,6.6,0.54
413,32,41.7,74.9,12.1,0.65
414,24,18.0,55.8,6.6,0.54
415,18,15.0,72.9,4.7,0.73
416,53,40.5,78.6,6.9,0.74
417,69,40.3,29.3,1.0,0.56
418,24,17.8,55.6,6.2,0.7
419,33,26.8,34.1,3.6,0.52
420,44,15.0,28.2,2.3,0.45
421,67,30.5,65.8,10.9,0.72
422,54,47.2,73.1,9.1,0.67
423,58,37.7,60.7,8.1,0.72
424,48,15.0,65.0,5.5,0.59
425,40,41.7,26.3,1.1,0.49
426,28,27.8,43.4,4.9,0.63
427,63,38.7,67.5,7.8,0.72
428,60,29.5,82.0,5.8,0.78
429,19,28.7,70.2,7.5,0.75
430,55,46.2,77.1,8.6,0.54
431,22,49.2,74.6,7.9,0.77
432,57,48.4,83.6,7.8,0.8
433,61,50.6,69.7,6.8,0.71
434,24,19.9,8.7,1.0,0.36
435,40,42.1,9.9,1.3,0.31
436,24,29.4,18.8,3.2,0.28
437,48,52.5,19.6,4.1,0.37
438,67,43.6,78.5,8.2,0.78
439,22,15.4,19.9,1.4,0.39
440,39,25.9,54.8,6.9,0.63
441,69,60.6,58.8,7.6,0.73
442,33,45.7,78.0,7.9,0.68
443,25,17.0,19.4,3.6,0.39
444,43,29.2,19.2,3.9,0.48
445,44,38.7,25.3,5.1,0.28
446,53,37.8,50.5,8.8,0.6
447,34,39.8,26.2,1.4,0.38
448,68,23.5,91.4,10.2,0.83
449,45,25.6,19.7,2.2,0.31
450,33,18.4,27.0,2.8,0.42
451,68,22.7,34.6,2.7,0.63
452,67,38.3,74.1,5.6,0.64
453,44,23.9,18.5,2.2,0.28
454,19,16.2,1.8,1.0,0.16
455,49,51.5,38.5,4.4,0.64
456,47,33.9,74.5,6.8,0.71
457,25,15.0,65.2,5.3,0.68
458,51,38.8,25.1,3.2,0.39
459,62,59.2,70.3,8.1,0.64
460,23,15.0,70.0,8.8,0.7
461,56,31.8,79.2,12.7,0.95
462,25,29.3,10.7,1.7,0.43
463,57,40.7,42.1,5.6,0.46
464,40,40.1,17.6,1.0,0.42
465,18,17.8,17.8,1.0,0.3
466,69,59.6,42.4,7.6,0.39
467,26,15.0,35.8,2.3,0.57
468,49,38.0,74.8,6.4,0.84
469,27,21.3,15.0,1.6,0.43
470,67,35.3,26.1,2.7,0.39
471,57,24.6,31.7,1.9,0.45
472,60,53.5,32.5,3.1,0.53
473,40,28.1,71.9,10.2,0.76
474,42,21.3,30.5,1.9,0.42
475,51,38.3,21.7,1.0,0.27
476,59,58.2,61.7,8.6,0.67
477,62,19.2,70.2,8.7,0.8
478,18,15.0,39.7,3.3,0.42
479,53,29.7,59.3,3.7,0.7
480,23,38.8,29.7,2.0,0.47
481,33,31.1,15.9,1.7,0.42
482,61,55.2,33.3,5.8,0.54
483,31,15.0,71.4,6.1,0.67
484,60,31.9,90.4,9.9,0.72
485,42,39.0,36.6,5.3,0.45
486,30,26.5,62.4,2.6,0.74
487,35,35.6,82.4,11.0,0.76
488,46,33.9,65.6,5.2,0.63
489,58,47.3,17.8,2.6,0.22
490,50,40.7,79.0,9.2,0.92
491,67,59.2,18.3,4.0,0.44
492,63,56.9,32.2,4.6,0.53
493,57,23.9,23.2,1.0,0.48
494,49,15.0,65.3,5.8,0.73
495,33,39.8,69.2,7.9,0.69
496,39,45.9,70.3,7.5,0.71
497,24,15.0,86.3,10.4,0.79
498,37,15.0,77.8,10.1,0.95
499,67,51.0,49.1,6.6,0.62
500,40,43.5,54.4,5.7,0.58
501,24,43.5,65.6,4.0,0.72
502,52,46.3,76.6,7.7,0.68
503,69,46.7,64.2,7.9,0.8
504,63,36.5,65.9,5.4,0.64
505,32,27.2,69.2,8.8,0.75
506,42,30.0,62.4,8.6,0.75
507,46,24.0,61.9,7.1,0.69
508,31,51.0,74.6,2.8,0.75
509,32,48.5,63.8,4.8,0.68
510,30,39.4,84.2,12.8,0.81
